subject,runIndex,fatigue_baseline,fatigue_after,motivation_baseline,motivation_after,confidence_baseline,confidence_after,AMI_total,AMI_behavioural,AMI_emotional,AMI_social,age,musician,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_19,track_20,track_21,track_22,track_23,track_24,track_25,track_26,track_27,track_28,track_29,track_30,track_31,track_32,track_33,track_34,track_35,track_36,track_37,track_38,track_39,track_40
11 18,2,61.06770834,61.28472222,60.85069444,78.64583334,38.49826388,79.73090278,34,11,8,15,25,No,21,19,17,15,13,12,11,10,9,11,11,12,12,13,13,13,12,13,14,14,14,15,15,15,14,15,15,15,14,14,14,13,13,13,12,12,13,13,13,12
11 18,3,61.06770834,61.28472222,60.85069444,78.64583334,38.49826388,79.73090278,34,11,8,15,25,No,21,19,17,15,13,12,11,10,12,12,12,11,12,12,12,11,11,11,12,12,12,11,11,11,12,12,12,11,12,12,13,13,14,14,14,13,13,13,14,14
11 19,1,59.786603,53.9916088,70.53313078,89.79311342,79.95659722,99.6911169,40,10,16,14,20,Yes,21,19,17,15,13,12,14,14,14,13,13,13,12,12,12,13,13,13,14,14,14,13,13,13,12,12,12,11,11,11,10,10,10,11,11,12,12,12,13,13
11 19,2,59.786603,53.9916088,70.53313078,89.79311342,79.95659722,99.6911169,40,10,16,14,20,Yes,21,19,17,15,13,15,15,15,14,14,15,15,15,14,14,14,13,13,13,12,12,12,11,12,12,12,11,11,11,10,10,10,9,9,10,11,11,11,10,11
11 19,3,59.786603,53.9916088,70.53313078,89.79311342,79.95659722,99.6911169,40,10,16,14,20,Yes,21,19,17,15,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,13,13,13,12,13,13,13,12,12,12,11,12,12,12,11,11,12,12,12,11
11 20,1,NaN,NaN,NaN,NaN,NaN,NaN,25,12,6,7,22,Yes,21,19,17,15,13,12,11,10,9,11,11,12,13,14,14,14,13,13,13,14,14,14,15,15,15,14,14,14,13,14,14,14,15,15,15,16,16,16,15,15
11 20,2,NaN,NaN,NaN,NaN,NaN,NaN,25,12,6,7,22,Yes,21,19,17,15,13,12,14,16,16,16,15,16,16,16,15,15,15,14,14,14,13,13,13,12,13,14,14,14,15,15,15,14,15,15,15,14,14,14,13,13
11 20,3,NaN,NaN,NaN,NaN,NaN,NaN,25,12,6,7,22,Yes,21,19,17,15,17,17,18,18,18,17,18,18,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,14,14,15,15,15,16,16,16,15,15,15,16,16
11 21,1,39.36631944,40.45138888,78.86284722,99.91319444,80.38194444,99.69618056,33,9,9,15,29,No,21,19,17,15,13,12,11,13,13,14,14,14,15,15,15,14,14,14,13,14,14,14,13,13,13,12,12,12,11,11,11,12,12,12,11,12,12,12,11,12
11 21,2,39.36631944,40.45138888,78.86284722,99.91319444,80.38194444,99.69618056,33,9,9,15,29,No,21,19,17,15,13,12,11,10,9,11,13,13,13,12,12,13,13,13,14,14,15,15,15,16,16,16,15,16,16,17,17,17,16,16,16,15,15,15,14,14
11 21,3,39.36631944,40.45138888,78.86284722,99.91319444,80.38194444,99.69618056,33,9,9,15,29,No,21,19,17,15,13,12,11,10,12,14,14,14,13,13,13,12,12,12,13,14,15,16,17,17,17,16,16,16,15,15,15,14,15,15,15,14,14,14,13,13
11 22,1,79.9382716,79.47530864,33.33333334,41.3580247,99.22839506,79.16666666,29,10,6,13,21,No,21,19,17,15,17,17,17,16,16,16,15,15,15,14,14,14,13,13,14,15,15,15,14,14,14,13,14,15,15,15,14,15,15,15,16,16,16,15,15,16
