subject,runIndex,fatigue_baseline,fatigue_after,motivation_baseline,motivation_after,confidence_baseline,confidence_after,AMI_total,AMI_behavioural,AMI_emotional,AMI_social,age,musician,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_19,track_20,track_21,track_22,track_23,track_24,track_25,track_26,track_27,track_28,track_29,track_30,track_31,track_32,track_33,track_34,track_35,track_36,track_37,track_38,track_39,track_40
11 57,2,30.6212365,30.47415732,51.23503254,79.54885624,90.34187258,49.69718992,33,11,7,15,26,Yes,21,19,17,15,13,12,11,10,9,8,7,9,9,9,8,9,10,10,10,9,10,11,12,12,12,13,13,13,14,14,14,13,13,13,12,12,12,11,11,11
11 57,3,30.6212365,30.47415732,51.23503254,79.54885624,90.34187258,49.69718992,33,11,7,15,26,Yes,21,19,17,15,13,12,11,10,12,14,14,14,13,13,13,12,12,12,11,12,12,12,11,12,12,12,11,11,11,12,12,12,11,11,12,12,12,13,13,13
11 58,1,79.84126984,80,80.63492064,80.31746032,80.15873016,60.15873016,29,10,7,12,19,Yes,21,19,17,15,13,12,11,13,13,13,12,13,14,15,15,15,14,14,14,15,15,15,14,14,14,13,13,14,14,14,13,13,13,12,12,12,11,11,11,10
11 58,2,79.84126984,80,80.63492064,80.31746032,80.15873016,60.15873016,29,10,7,12,19,Yes,21,19,17,15,13,12,14,14,14,13,13,13,12,12,12,11,11,11,12,12,13,13,14,15,15,15,14,14,14,13,13,14,14,15,16,16,16,15,15,15
11 58,3,79.84126984,80,80.63492064,80.31746032,80.15873016,60.15873016,29,10,7,12,19,Yes,21,19,17,15,13,15,15,16,17,18,18,18,17,17,17,16,17,17,17,16,16,16,17,17,17,16,16,16,17,17,17,16,16,16,15,16,17,17,17,16
11 59,1,NaN,NaN,NaN,NaN,NaN,NaN,32,15,7,10,22,No,21,19,17,15,13,12,14,14,14,13,13,13,12,12,12,11,12,13,13,13,12,12,12,11,11,11,10,10,10,11,11,11,10,11,12,12,12,11,11,11
11 59,2,NaN,NaN,NaN,NaN,NaN,NaN,32,15,7,10,22,No,21,19,17,15,13,12,11,10,9,11,13,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,12,12,12,11,11,12,12,12,11,11,12,12,13,13
11 59,3,NaN,NaN,NaN,NaN,NaN,NaN,32,15,7,10,22,No,21,19,17,15,13,12,11,10,9,8,7,6,5,7,9,9,9,10,11,11,11,10,10,10,9,9,9,10,10,10,9,9,9,10,10,10,11,11,11,10
11 60,1,20.703125,59.54861112,78.86284722,58.68055556,81.25,97.52604166,32,12,7,13,29,Not applicable (never played any instruments),21,19,17,15,13,12,11,10,9,8,10,12,12,13,13,13,12,12,13,13,13,12,12,13,13,13,12,13,14,14,15,15,15,14,15,15,15,14,14,14
11 60,2,20.703125,59.54861112,78.86284722,58.68055556,81.25,97.52604166,32,12,7,13,29,Not applicable (never played any instruments),21,19,17,15,13,15,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,12,12,12,11,12,13,14,14,14,15,15,15,14,14
11 60,3,20.703125,59.54861112,78.86284722,58.68055556,81.25,97.52604166,32,12,7,13,29,Not applicable (never played any instruments),21,19,17,15,17,17,17,16,16,16,15,16,16,16,15,15,15,14,14,14,13,13,14,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,10,11
